product_id,product_name,active,old_description,new_description,status
prod_UBD0SqkspuuyGD,smile 3pack,True,"the ""your smile is attractive."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the ""your smile is attractive."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCyvIshrPciyJ,torus shirt,True,"the original torus logo and community phrase; embroidered from a bedroom in albuquerque, new mexico","the original torus logo and community phrase; embroidered from a bedroom in brooklyn, new york",updated
prod_UBCyfW1ODvsrnm,"""wandering."" shirt",True,"""wandering along a path."" on a heavyweight sage green cotton t-shirt ; embroidered from a bedroom in albuquerque, new mexico","""wandering along a path."" on a heavyweight sage green cotton t-shirt ; embroidered from a bedroom in brooklyn, new york",updated
prod_UBCyMk19EVwNfm,"""question."" shirt",True,"""examine the question."" on a heavyweight cream cotton t-shirt ; embroidered from a bedroom in albuquerque, new mexico","""examine the question."" on a heavyweight cream cotton t-shirt ; embroidered from a bedroom in brooklyn, new york",updated
prod_UBCyLMY228AXLf,question 3pack,True,"the og ""examine the question."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the og ""examine the question."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxKVy3EdkPHN,question 5pack,True,"the og ""examine the question."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the og ""examine the question."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxi218ndftn3,cultivate 5pack,True,"the ""cultivate yourself."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the ""cultivate yourself."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCx0jxf5TCKlK,cultivate 3pack,True,"the ""cultivate yourself."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the ""cultivate yourself."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCx8D6HvICQFI,peace 5pack,True,"the ""no one can steal your peace."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the ""no one can steal your peace."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxVPjzSNN8dh,resistance 5pack,True,"the ""change your path of least resistance."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the ""change your path of least resistance."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxvVURAr9QxB,resistance 3pack,True,"the ""change your path of least resistance."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the ""change your path of least resistance."" sticker pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxH9OvcLWThl,smile 5pack,True,"the ""your smile is attractive."" sticker 5pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the ""your smile is attractive."" sticker 5pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCx4BCdiX2No5,torus 5pack,True,"the og ""torus."" sticker 5pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the og ""torus."" sticker 5pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxpI6Sr7j4tX,torus 3pack,True,"the og ""torus."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","the og ""torus."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCx2BX3znajqf,"assorted 3pack ""a""",True,"""cultivate."", ""resistance."", and ""og torus."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","""cultivate."", ""resistance."", and ""og torus."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxm3bJ4qNWQ5,"assorted 3pack ""b""",True,"""question."", ""peace."", and ""smile."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","""question."", ""peace."", and ""smile."" sticker 3pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxlveXXFBlDY,assorted 5pack,True,"""cultivate."", ""resistance."", ""question."", ""peace."", and ""smile."" sticker 5pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","""cultivate."", ""resistance."", ""question."", ""peace."", and ""smile."" sticker 5pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxZqMmctKnzi,"assorted 10pack ""a""",True,"2 of each phrase design in a 10pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","2 of each phrase design in a 10pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_UBCxspcMotHWZV,"assorted 10pack ""b""",True,"3 ""cultivate."", 3 ""question."", 2 ""peace."", and 2 ""og torus."" stickers in a 10pack ; handmade with high quality vinyl + laminate from a bedroom in albuquerque, new mexico","3 ""cultivate."", 3 ""question."", 2 ""peace."", and 2 ""og torus."" stickers in a 10pack ; handmade with high quality vinyl + laminate from a bedroom in brooklyn, new york",updated
prod_U6PiU0fIr25di6,torus shirt,False,"the original torus logo and community phrase; embroidered from a bedroom in albuquerque, new mexico","the original torus logo and community phrase; embroidered from a bedroom in brooklyn, new york",updated
